Rurfu,100,TOP,True,2420,Maokai,1,4,16,186,16,12750,17962,16475,1007,480,34508,15341,56661,7,0,2,2815,0,12555,76,779,33,12,4,2,False,False,False,False,0,0,0,0,4.9,6.2,3.8,,,363.5,404.1,415.9,,,195,301.4,253.7,,
I MUTE YOU,100,JUNGLE,True,2420,Olaf,4,5,7,69,185,15135,15524,0,9722,5801,32867,16655,45832,123,12,0,2584,0,22668,11,684,59,6,20,4,False,False,False,False,0,0,0,0,0.3,1.3,2.8000000000000003,,,339.7,340.4,614.4,,,301,337.6,449.09999999999997,,
Kataris,100,MIDDLE,True,2420,Syndra,4,8,12,286,19,15699,26480,25046,490,944,19799,3741,14387,12,3,2,2121,0,5558,30,403,37,15,4,2,False,False,False,False,0,0,0,0,7.1,9,6.3,,,398.9,476.1,349.2,,,294.4,350.7,298,,
Mkrty,100,BOTTOM,True,2420,Caitlyn,12,5,5,292,12,19605,30342,2404,27342,596,17063,2505,14617,8,0,3,11910,2,38430,27,119,52,17,4,6,False,False,False,False,4,1,0,0,5.9,8.1,7,,,292.6,468.1,490.1,,,247.9,381,542.9,,
Yumo,100,BOTTOM,True,2420,875,3,6,7,41,4,9784,8025,315,6202,1507,21135,3080,25970,0,0,0,224,0,5960,19,69,91,37,16,10,False,False,False,False,0,0,0,0,1.1,1.4,1.3,,,206.2,219.4,379.4,,,143.6,229.4,191.7,,
I live with 1 HP,200,TOP,False,2420,Renekton,13,4,3,304,10,19626,21970,3750,17539,680,44995,11141,58066,6,0,2,5280,0,13027,19,41,30,14,2,3,False,False,True,False,4,0,0,0,8.2,9.899999999999999,7.9,,,500.09999999999997,586.6,679.9000000000001,,,391.20000000000005,606.2,500.6,,
The Chosen Gamer,200,JUNGLE,False,2420,JarvanIV,0,8,16,40,106,10558,6467,1104,4798,564,34745,9737,41078,73,4,0,1128,0,18437,15,345,32,11,4,14,False,False,False,False,0,0,0,0,0.3,1.6,1.7000000000000002,,,278.3,445.7,490,,,235.89999999999998,277.6,302.6,,
Venòmz,200,MIDDLE,False,2420,Cassiopeia,3,5,15,222,20,13472,28581,27859,341,379,25562,9543,14542,16,4,0,990,0,20148,44,631,41,17,8,6,False,False,False,False,0,0,0,0,6.2,6.1,4,,,394.6,431.70000000000005,428.6,,,266,322.4,375.4,,
Elsa from Frozen,200,BOTTOM,False,2420,Jhin,9,4,10,215,41,15594,21436,2949,17758,729,17692,4432,11154,35,5,2,2450,0,27749,38,200,43,13,7,3,True,False,False,False,2,0,0,0,6.3,5.1,5.1,,,274.6,362.3,502.90000000000003,,,349.6,409.3,370,,
VillaEnders,200,BOTTOM,False,2420,Velkoz,3,3,12,24,0,9852,22906,15581,381,6943,11401,416,3550,0,0,0,1073,0,9962,33,229,69,35,7,6,False,False,False,False,0,0,0,0,0.30000000000000004,0.2,1,,,237.10000000000002,250.8,430,,,186.7,223.3,297.70000000000005,,
